,province,town,coordinates,start_date,end_date
0,Souk Ahras,AIN Djehifa,"[[7.925396563162748, 36.165179438758244], [7.99200117742056, 36.165179438758244], [7.99200117742056, 36.203142668841686], [7.925396563162748, 36.203142668841686], [7.925396563162748, 36.165179438758244]]",2021-08-08,2021-08-12
1,Souk Ahras,Souk Ahras,"[[7.957497240652982, 36.240627076046934], [7.990112902274076, 36.240627076046934], [7.990112902274076, 36.26775895617069], [7.957497240652982, 36.26775895617069], [7.957497240652982, 36.240627076046934]]",2021-08-08,2021-08-12
2,Blida,Ain Roumana,"[[3.2554255823673683, 36.46550632482101], [3.3395396570743996, 36.46550632482101], [3.3395396570743996, 36.53560532964522], [3.2554255823673683, 36.53560532964522], [3.2554255823673683, 36.46550632482101]]",2021-08-08,2021-08-12
3,Bejaia,Thala Hamdoune,"[[4.58322416376308, 36.732796674185984], [4.725016461126361, 36.732796674185984], [4.725016461126361, 36.81227392936757], [4.58322416376308, 36.81227392936757], [4.58322416376308, 36.732796674185984]]",2021-08-08,2021-08-12
4,Bejaia,Adekar,"[[4.642488647499938, 36.666028391587986], [4.666864563027282, 36.666028391587986], [4.666864563027282, 36.70030673745205], [4.642488647499938, 36.70030673745205], [4.642488647499938, 36.666028391587986]]",2021-08-08,2021-08-12
5,Bejaia,Tighilt,"[[4.836122680703063, 36.58296639379894], [4.858266998330016, 36.58296639379894], [4.858266998330016, 36.600608303702664], [4.836122680703063, 36.600608303702664], [4.836122680703063, 36.58296639379894]]",2021-08-08,2021-08-12
6,Bejaia,Toudja,"[[4.80066010486492, 36.70741327240622], [4.950348825568045, 36.70741327240622], [4.950348825568045, 36.77591778114183], [4.80066010486492, 36.77591778114183], [4.80066010486492, 36.70741327240622]]",2021-08-08,2021-08-12
7,Bejaia,Barbacha,"[[4.929397586582014, 36.573526211056404], [4.99565887808592, 36.573526211056404], [4.99565887808592, 36.62010884038512], [4.929397586582014, 36.62010884038512], [4.929397586582014, 36.573526211056404]]",2021-08-08,2021-08-12
8,Bejaia,Tirilets,"[[5.023620114375342, 36.7579976516641], [5.035636410762061, 36.7579976516641], [5.035636410762061, 36.775736969154664], [5.023620114375342, 36.775736969154664], [5.023620114375342, 36.7579976516641]]",2021-08-08,2021-08-12
9,Bejaia,Taguemmount,"[[5.022947102944197, 36.59949285445254], [5.109807759682479, 36.59949285445254], [5.109807759682479, 36.64220325822157], [5.022947102944197, 36.64220325822157], [5.022947102944197, 36.59949285445254]]",2021-08-08,2021-08-12
10,Bejaia,Ihamachane Qaa Irezza,"[[5.121112421895688, 36.6575190906883], [5.13355787172479, 36.6575190906883], [5.13355787172479, 36.66688279681797], [5.121112421895688, 36.66688279681797], [5.121112421895688, 36.6575190906883]]",2021-08-08,2021-08-12
11,Bejaia,Tizi NBerber,"[[5.197678504722001, 36.5678442329057], [5.295525489585282, 36.5678442329057], [5.295525489585282, 36.63289153490435], [5.197678504722001, 36.63289153490435], [5.197678504722001, 36.5678442329057]]",2021-08-08,2021-08-12
12,Bejaia,Oulad Laag,"[[5.302037709154761, 36.57449613710339], [5.324868672289527, 36.57449613710339], [5.324868672289527, 36.59255346220783], [5.302037709154761, 36.59255346220783], [5.302037709154761, 36.57449613710339]]",2021-08-08,2021-08-12
13,Bejaia,Ighzer NTabazit,"[[5.2894899654748295, 36.54136359041719], [5.3334352779748295, 36.54136359041719], [5.3334352779748295, 36.558877119149535], [5.2894899654748295, 36.558877119149535], [5.2894899654748295, 36.54136359041719]]",2021-08-08,2021-08-12
14,Bejaia,Tamridjet,"[[5.393902608541108, 36.54916669577524], [5.4373329369102485, 36.54916669577524], [5.4373329369102485, 36.5757774890767], [5.393902608541108, 36.5757774890767], [5.393902608541108, 36.54916669577524]]",2021-08-08,2021-08-12
15,Bejaia,Yafaguen,"[[5.447975942281342, 36.57467463311984], [5.479218312886811, 36.57467463311984], [5.479218312886811, 36.58349703972602], [5.447975942281342, 36.58349703972602], [5.447975942281342, 36.57467463311984]]",2021-08-08,2021-08-12
16,Bejaia,Idjeblien,"[[5.426735177263562, 36.59131603950414], [5.451111092790906, 36.59131603950414], [5.451111092790906, 36.60916273551872], [5.426735177263562, 36.60916273551872], [5.426735177263562, 36.59131603950414]]",2021-08-08,2021-08-12
17,Bejaia,Aguemoun,"[[5.378681593546544, 36.62412204382288], [5.399967604288731, 36.62412204382288], [5.399967604288731, 36.63369643986315], [5.378681593546544, 36.63369643986315], [5.378681593546544, 36.62412204382288]]",2021-08-08,2021-08-12
18,Annaba,Eulma,"[[7.401909165846612, 36.64059587712599], [7.427658372389581, 36.64059587712599], [7.427658372389581, 36.65161430509245], [7.401909165846612, 36.65161430509245], [7.401909165846612, 36.64059587712599]]",2021-08-08,2021-08-12
19,Annaba,Mechta Beni Hameza,"[[7.4675131441108, 36.64976571777305], [7.5121451021186125, 36.64976571777305], [7.5121451021186125, 36.68418897065959], [7.4675131441108, 36.68418897065959], [7.4675131441108, 36.64976571777305]]",2021-08-08,2021-08-12
20,Annaba,Sidi Amar,"[[7.715224899993451, 36.83258508649434], [7.737197556243451, 36.83258508649434], [7.737197556243451, 36.84275172566496], [7.715224899993451, 36.84275172566496], [7.715224899993451, 36.83258508649434]]",2021-08-08,2021-08-12
21,Annaba,Kherraza,"[[7.622356095061811, 36.84907084723609], [7.647075333343061, 36.84907084723609], [7.647075333343061, 36.87598994614252], [7.622356095061811, 36.87598994614252], [7.622356095061811, 36.84907084723609]]",2021-08-08,2021-08-12
22,Annaba,Bouzizi,"[[7.548006522330923, 36.91550173099934], [7.632463919791861, 36.91550173099934], [7.632463919791861, 36.95995681895593], [7.548006522330923, 36.95995681895593], [7.548006522330923, 36.91550173099934]]",2021-08-08,2021-08-12
23,El Tarf,Kebouda,"[[7.972643527736247, 36.71650921209889], [7.986376437892497, 36.71650921209889], [7.986376437892497, 36.73577140479683], [7.972643527736247, 36.73577140479683], [7.972643527736247, 36.71650921209889]]",2021-08-08,2021-08-12
24,El Tarf,Berrihane,"[[8.091438095697766, 36.85751035826088], [8.138473312982923, 36.85751035826088], [8.138473312982923, 36.88442648436351], [8.091438095697766, 36.88442648436351], [8.091438095697766, 36.85751035826088]]",2021-08-08,2021-08-12
25,El Tarf,Zitouna,"[[8.162381338239978, 36.633599576516595], [8.323743032575916, 36.633599576516595], [8.323743032575916, 36.71923410977672], [8.162381338239978, 36.71923410977672], [8.162381338239978, 36.633599576516595]]",2021-08-08,2021-08-12
26,El Tarf,Souarekh,"[[8.565317002053522, 36.86615158297142], [8.606515732522272, 36.86615158297142], [8.606515732522272, 36.90047782658985], [8.565317002053522, 36.90047782658985], [8.565317002053522, 36.86615158297142]]",2021-08-08,2021-08-12
27,El Tarf,El Aioun,"[[8.605017167200918, 36.78236136274814], [8.67265174972045, 36.78236136274814], [8.67265174972045, 36.826756569318064], [8.605017167200918, 36.826756569318064], [8.605017167200918, 36.78236136274814]]",2021-08-08,2021-08-12
28,Constantine,Duar-An-Bu-Ed-Dekheli,"[[6.792496345293837, 36.41647737743051], [6.858929298174696, 36.41647737743051], [6.858929298174696, 36.45818441416674], [6.792496345293837, 36.45818441416674], [6.792496345293837, 36.41647737743051]]",2021-08-08,2021-08-12
29,Ain Defla,Hammam Righa,"[[2.381038203586545, 36.40736380707232], [2.413997187961545, 36.40736380707232], [2.413997187961545, 36.42546014596757], [2.381038203586545, 36.42546014596757], [2.381038203586545, 36.40736380707232]]",2021-08-08,2021-08-12
30,Ain Defla,Lari Addou,"[[1.819946551004663, 36.37420530252601], [1.8544504877722412, 36.37420530252601], [1.8544504877722412, 36.40895861328802], [1.819946551004663, 36.40895861328802], [1.819946551004663, 36.37420530252601]]",2021-08-08,2021-08-12
31,Medea,Deux Bassins,"[[3.2554255823673683, 36.46550632482101], [3.3395396570743996, 36.46550632482101], [3.3395396570743996, 36.53560532964522], [3.2554255823673683, 36.53560532964522], [3.2554255823673683, 36.46550632482101]]",2021-08-08,2021-08-12
32,Setif,Qsamtina,"[[4.893019899233262, 36.347845627002364], [4.916365846498887, 36.347845627002364], [4.916365846498887, 36.3676145605976], [4.893019899233262, 36.3676145605976], [4.893019899233262, 36.347845627002364]]",2021-08-08,2021-08-12
33,Jijel,Texenna,"[[5.786166998357358, 36.666517109002804], [5.809512945622983, 36.666517109002804], [5.809512945622983, 36.683451587615735], [5.786166998357358, 36.683451587615735], [5.786166998357358, 36.666517109002804]]",2021-08-08,2021-08-12
34,Jijel,Mechta Afouzar,"[[5.993638267642072, 36.76615302195143], [6.046338310366681, 36.76615302195143], [6.046338310366681, 36.80176123081653], [5.993638267642072, 36.80176123081653], [5.993638267642072, 36.76615302195143]]",2021-08-08,2021-08-12
35,Jijel,Settara,"[[6.307778587466291, 36.673871657772295], [6.382279625063947, 36.673871657772295], [6.382279625063947, 36.71846726469515], [6.307778587466291, 36.71846726469515], [6.307778587466291, 36.673871657772295]]",2021-08-08,2021-08-12
36,Jijel,Barrage Boussiaba,"[[6.340609957178973, 36.83346410941043], [6.352540422877215, 36.83346410941043], [6.352540422877215, 36.850430456501165], [6.340609957178973, 36.850430456501165], [6.340609957178973, 36.83346410941043]]",2021-08-08,2021-08-12
37,Skikda,Ouled Attia,"[[6.290125481192916, 36.982595917399365], [6.335444084708541, 36.982595917399365], [6.335444084708541, 37.00179116960096], [6.290125481192916, 37.00179116960096], [6.290125481192916, 36.982595917399365]]",2021-08-08,2021-08-12
38,Skikda,Oum Toub,"[[6.505525390763904, 36.68027168824217], [6.571100036759998, 36.68027168824217], [6.571100036759998, 36.735594805175396], [6.505525390763904, 36.735594805175396], [6.505525390763904, 36.68027168824217]]",2021-08-08,2021-08-12
39,Skikda,Meshtet Ais,"[[6.490762512345936, 36.64006177156995], [6.533677856584217, 36.64006177156995], [6.533677856584217, 36.66732969243679], [6.490762512345936, 36.66732969243679], [6.490762512345936, 36.64006177156995]]",2021-08-08,2021-08-12
40,Skikda,Cite Djbel Mekcen,"[[6.868572553510313, 36.67428824555775], [6.890201887006406, 36.67428824555775], [6.890201887006406, 36.68351224818143], [6.868572553510313, 36.68351224818143], [6.868572553510313, 36.67428824555775]]",2021-08-08,2021-08-12
41,Skikda,El Hadaiek,"[[6.838024499468167, 36.80024927992766], [6.870983483843167, 36.80024927992766], [6.870983483843167, 36.82553667679711], [6.838024499468167, 36.82553667679711], [6.838024499468167, 36.80024927992766]]",2021-08-08,2021-08-12
42,Skikda,Mouna,"[[6.977756860308011, 36.8574088781866], [6.991146447710355, 36.8574088781866], [6.991146447710355, 36.87471321380188], [6.977756860308011, 36.87471321380188], [6.977756860308011, 36.8574088781866]]",2021-08-08,2021-08-12
43,Tizi Ouzou,Larbaâ Nath Irathen,"[[4.090573746751205, 36.583503499565424], [4.239575821946517, 36.583503499565424], [4.239575821946517, 36.66285977347944], [4.090573746751205, 36.66285977347944], [4.090573746751205, 36.583503499565424]]",2021-08-08,2021-08-12
44,Tizi Ouzou,Beni Douala,"[[3.9992498942121424, 36.591773589445204], [4.081647355149642, 36.591773589445204], [4.081647355149642, 36.63200870828402], [3.9992498942121424, 36.63200870828402], [3.9992498942121424, 36.591773589445204]]",2021-08-08,2021-08-12
45,Tizi Ouzou,Ouadhia,"[[4.041042885773267, 36.551302963065034], [4.172192177765455, 36.551302963065034], [4.172192177765455, 36.5912835258498], [4.041042885773267, 36.5912835258498], [4.041042885773267, 36.551302963065034]]",2021-08-08,2021-08-12
46,Tizi Ouzou,Beni Yenni,"[[4.156056008331861, 36.541097712185405], [4.267292580597486, 36.541097712185405], [4.267292580597486, 36.58301338345805], [4.156056008331861, 36.58301338345805], [4.156056008331861, 36.541097712185405]]",2021-08-08,2021-08-12
47,Tizi Ouzou,Ait Boumahdi,"[[4.1388898706365485, 36.49115531559456], [4.203091225617017, 36.49115531559456], [4.203091225617017, 36.53420150971611], [4.1388898706365485, 36.53420150971611], [4.1388898706365485, 36.49115531559456]]",2021-08-08,2021-08-12
48,Tizi Ouzou,Ouacifs,"[[4.200001320831861, 36.50771437740176], [4.2638593530584235, 36.50771437740176], [4.2638593530584235, 36.5339256488247], [4.200001320831861, 36.5339256488247], [4.200001320831861, 36.50771437740176]]",2021-08-08,2021-08-12
49,Tizi Ouzou,Ain El Hammam,"[[4.2514997339177985, 36.47486878530458], [4.350720009796705, 36.47486878530458], [4.350720009796705, 36.57363948424301], [4.2514997339177985, 36.57363948424301], [4.2514997339177985, 36.47486878530458]]",2021-08-08,2021-08-12
50,Tizi Ouzou,Souamaa,"[[4.236688348506368, 36.60836978222043], [4.354791375850118, 36.60836978222043], [4.354791375850118, 36.650524380925205], [4.236688348506368, 36.650524380925205], [4.236688348506368, 36.60836978222043]]",2021-08-08,2021-08-12
51,Tizi Ouzou,Ait Zmenzer,"[[4.027152520937443, 36.60794563543824], [4.070067865175724, 36.60794563543824], [4.070067865175724, 36.63370966081491], [4.027152520937443, 36.63370966081491], [4.027152520937443, 36.60794563543824]]",2021-08-08,2021-08-12
52,Tizi Ouzou,Irhil Bou Addou,"[[3.9730874068274247, 36.56551149279937], [3.985618687345003, 36.56551149279937], [3.985618687345003, 36.58357091910375], [3.9730874068274247, 36.58357091910375], [3.9730874068274247, 36.56551149279937]]",2021-08-08,2021-08-12
53,Tizi Ouzou,Illoula Oumalou,"[[4.40702228738727, 36.52310319817609], [4.5024660129732075, 36.52310319817609], [4.5024660129732075, 36.592047439263396], [4.40702228738727, 36.592047439263396], [4.40702228738727, 36.52310319817609]]",2021-08-08,2021-08-12
54,Tizi Ouzou,Yakouren,"[[4.38779621316852, 36.70801044381524], [4.428651620883364, 36.70801044381524], [4.428651620883364, 36.75038557877782], [4.38779621316852, 36.75038557877782], [4.38779621316852, 36.70801044381524]]",2021-08-08,2021-08-12
55,Tizi Ouzou,Ifigha,"[[4.3953493137544575, 36.649086700342835], [4.43723468973102, 36.649086700342835], [4.43723468973102, 36.70057862787788], [4.3953493137544575, 36.70057862787788], [4.3953493137544575, 36.649086700342835]]",2021-08-08,2021-08-12
56,Tizi Ouzou,Oued Sebaou,"[[4.37294839657274, 36.65797789307138], [4.385265100369127, 36.65797789307138], [4.385265100369127, 36.66710058137722], [4.37294839657274, 36.66710058137722], [4.37294839657274, 36.65797789307138]]",2021-08-08,2021-08-12
57,Tizi Ouzou,Idjeur,"[[4.456481647865247, 36.64936103440648], [4.540939045326184, 36.64936103440648], [4.540939045326184, 36.675111214097676], [4.456481647865247, 36.675111214097676], [4.456481647865247, 36.64936103440648]]",2021-08-08,2021-08-12
58,Tizi Ouzou,Bou Aoun,"[[4.478834099896152, 36.683271217305254], [4.542692132122714, 36.683271217305254], [4.542692132122714, 36.70887243248531], [4.478834099896152, 36.70887243248531], [4.478834099896152, 36.683271217305254]]",2021-08-08,2021-08-12
59,Tizi Ouzou,Mizrana,"[[4.089310623458724, 36.81671223766143], [4.123814560226302, 36.81671223766143], [4.123814560226302, 36.85023650672822], [4.089310623458724, 36.85023650672822], [4.089310623458724, 36.81671223766143]]",2021-08-08,2021-08-12
60,Tizi Ouzou,Iflissen,"[[4.238999344161849, 36.84900021679911], [4.261143661788802, 36.84900021679911], [4.261143661788802, 36.86795446532914], [4.238999344161849, 36.86795446532914], [4.238999344161849, 36.84900021679911]]",2021-08-08,2021-08-12
61,Tizi Ouzou,Taoudouch,"[[4.278996444991927, 36.8325831389359], [4.290326095870833, 36.8325831389359], [4.290326095870833, 36.84254371125564], [4.278996444991927, 36.84254371125564], [4.278996444991927, 36.8325831389359]]",2021-08-08,2021-08-12
62,Tizi Ouzou,Hubli,"[[4.280368754149557, 36.84947556309803], [4.302856394530417, 36.84947556309803], [4.302856394530417, 36.87570792926284], [4.280368754149557, 36.87570792926284], [4.280368754149557, 36.84947556309803]]",2021-08-08,2021-08-12
63,Tizi Ouzou,Zekri,"[[4.525896335829067, 36.76704940584452], [4.667001987684536, 36.76704940584452], [4.667001987684536, 36.82368414235222], [4.525896335829067, 36.82368414235222], [4.525896335829067, 36.76704940584452]]",2021-08-08,2021-08-12
64,Guelma,Meshtet Ain Ed Edfla,"[[7.0741495366042795, 36.5323920921773], [7.1469339604324045, 36.5323920921773], [7.1469339604324045, 36.55914654727962], [7.0741495366042795, 36.55914654727962], [7.0741495366042795, 36.5323920921773]]",2021-08-08,2021-08-12
65,Guelma,Hammam Nbail,"[[7.591972634636002, 36.33337497134635], [7.636432931266861, 36.33337497134635], [7.636432931266861, 36.35881572251259], [7.591972634636002, 36.35881572251259], [7.591972634636002, 36.33337497134635]]",2021-08-08,2021-08-12
66,Guelma,Dahouara,"[[7.687073037468033, 36.3658657637417], [7.742519662223892, 36.3658657637417], [7.742519662223892, 36.384662750981136], [7.687073037468033, 36.384662750981136], [7.687073037468033, 36.3658657637417]]",2021-08-08,2021-08-12
67,Boumerdes,Timezrit,"[[3.7816544524179685, 36.66623814281097], [3.813926791285156, 36.66623814281097], [3.813926791285156, 36.69335914674528], [3.7816544524179685, 36.69335914674528], [3.7816544524179685, 36.66623814281097]]",2021-08-08,2021-08-12
